start_time,end_time,filename,status,parsed_rows,error_rows,output_paths,output_sizes_bytes,duration_ms,error
2026-05-26 07:54:25,2026-05-26 07:54:30,vou_May18_2.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_cdr\year=1900\month=01\day=01\vou_May18_2_out.parquet","79067",4684,""
2026-05-26 07:54:25,2026-05-26 07:54:30,vou_may2_2019.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_cdr\year=1900\month=01\day=01\vou_may2_2019_out.parquet","74933",4755,""
2026-05-26 07:54:25,2026-05-26 07:54:30,vou_May18_3.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_cdr\year=1900\month=01\day=01\vou_May18_3_out.parquet","85294",5187,""
2026-05-26 07:54:30,2026-05-26 07:54:30,vou_other_april21.csv,QUARANTINED_MISMATCH,0,100,"","",404,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:30,2026-05-26 07:54:31,VOU_OTHER_Aug_Nov18.csv,QUARANTINED_MISMATCH,0,100,"","",420,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:30,2026-05-26 07:54:31,vou_other_dec19.csv,QUARANTINED_MISMATCH,0,100,"","",423,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:26,2026-05-26 07:54:31,vou_may_2019.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_cdr\year=1900\month=01\day=01\vou_may_2019_out.parquet","73494",4603,""
2026-05-26 07:54:31,2026-05-26 07:54:31,vou_other_dec20_3rdApril21.csv,QUARANTINED_MISMATCH,0,100,"","",317,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:31,2026-05-26 07:54:31,vou_other_feb20_2May20.csv,QUARANTINED_MISMATCH,0,100,"","",328,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:31,2026-05-26 07:54:32,vou_other_july_21.csv,QUARANTINED_MISMATCH,0,100,"","",869,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:31,2026-05-26 07:54:32,vou_other_july_sept5_19.csv,QUARANTINED_MISMATCH,0,100,"","",845,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:31,2026-05-26 07:54:34,VOU_OTHER_feb_may_2018.csv,QUARANTINED_MISMATCH,0,100,"","",3327,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:32,2026-05-26 07:54:34,vou_other_june20.csv,QUARANTINED_MISMATCH,0,100,"","",2512,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:32,2026-05-26 07:54:34,vou_other_june21.csv,QUARANTINED_MISMATCH,0,100,"","",2549,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:34,2026-05-26 07:54:35,VOU_OTHER_may18.csv,QUARANTINED_MISMATCH,0,100,"","",653,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:34,2026-05-26 07:54:35,vou_other_may_21.csv,QUARANTINED_MISMATCH,0,100,"","",676,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:34,2026-05-26 07:54:35,vou_other_nov19.csv,QUARANTINED_MISMATCH,0,100,"","",647,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:35,2026-05-26 07:54:35,vou_other_sept_other_20.csv,QUARANTINED_MISMATCH,0,100,"","",187,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:35,2026-05-26 07:54:35,VOU_OTHER_Nov_dec18_05Jan19.csv,QUARANTINED_MISMATCH,0,100,"","",396,"0 valid rows; 100 row(s) rejected (field mismatch)"
2026-05-26 07:54:30,2026-05-26 07:54:36,vou_nov_2019.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_cdr\year=1900\month=01\day=01\vou_nov_2019_out.parquet","77321",6312,""
2026-05-26 08:20:05,2026-05-26 08:20:07,vou_june_other_2020_2.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_other\year=2020\month=06\day=01\vou_june_other_2020_2_out.parquet","11005",1993,""
2026-05-26 08:20:05,2026-05-26 08:20:07,vou_june_main_2020_2.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2020\month=06\day=01\vou_june_main_2020_2_out.parquet","14798",2075,""
2026-05-26 08:20:05,2026-05-26 08:20:07,vou_main_april21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2021\month=04\day=01\vou_main_april21_out.parquet","14735",2104,""
2026-05-26 08:20:05,2026-05-26 08:20:07,vou_july_sept5_19.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2020\month=07\day=01\vou_july_sept5_19_out.parquet","14835",2109,""
2026-05-26 08:20:07,2026-05-26 08:20:07,VOU_MAIN_Aug_Nov18.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2018\month=07\day=01\VOU_MAIN_Aug_Nov18_out.parquet","18689",571,""
2026-05-26 08:20:07,2026-05-26 08:20:07,vou_main_dec19.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2019\month=12\day=01\vou_main_dec19_out.parquet","14892",556,""
2026-05-26 08:20:07,2026-05-26 08:20:08,vou_main_dec20_3rdApril21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2021\month=03\day=01\vou_main_dec20_3rdApril21_out.parquet","14740",545,""
2026-05-26 08:20:07,2026-05-26 08:20:08,vou_main_feb20_2May20.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2020\month=05\day=01\vou_main_feb20_2May20_out.parquet","14661",561,""
2026-05-26 08:20:07,2026-05-26 08:20:08,VOU_MAIN_feb_may_2018.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2018\month=02\day=25\VOU_MAIN_feb_may_2018_out.parquet","17894",596,""
2026-05-26 08:20:07,2026-05-26 08:20:08,vou_main_july_21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2021\month=07\day=01\vou_main_july_21_out.parquet","14694",554,""
2026-05-26 08:20:08,2026-05-26 08:20:08,vou_main_june20.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2020\month=06\day=14\vou_main_june20_out.parquet","14815",564,""
2026-05-26 08:20:08,2026-05-26 08:20:08,vou_main_june21.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2021\month=06\day=01\vou_main_june21_out.parquet","14652",576,""
2026-05-26 08:20:08,2026-05-26 08:20:09,VOU_MAIN_may18.csv,SUCCESS,100,0,"C:\sandbox\URA\sandbox\database\voucher\voucher_main\year=2018\month=05\day=19\VOU_MAIN_may18_out.parquet","18593",586,""
